symptoms,age,first_option,second_option,medicine,용법용량,사용전 반드시 알아야 할 내용,복용 시 주의사항,주의해야 할 약 또는 음식,이상반응,보관방법,가격
감기,12세 이하,,,어린이 부루펜,"11~14세는 1회 200~250 mg (10~13 mL), 7~10세는 1회 150~200 mg (8~10 mL), 3~6세는 1회 100~150 mg (5~8 mL), 1~ 2세는 1회 50~100 mg (3~5 mL)을 1일 3~4회 복용합니다. 체중이 30 kg 미만인 어린이는 1일량이 500 mg (25 mL)을 초과해서는 안되며 공복시 투여는 피하는 것이 바람직합니다.",,"과민증 환자, 위장관궤양, 출혈 경향, 간장애, 신장장애, 심장기능부전, 천식, 알레르기 반응 등의 문제가 있는 환자는 복용하지 말아야 하며, 권장용량을 초과해서도 복용하면 안 됩니다. 혈액이상, 간장애, 신장장애, 심장질환 등의 질환을 가진 환자, 노인, 임부, 소아 등도 의사나 약사와 상의 후 복용해야 합니다. 감기에 복용할 경우 5일 이내로 복용하며, 통증에 10일 이상(성인) 또는 5일 이상(소아), 발열에 3일 이상 복용하지 않도록 주의해야 합니다.","항암요법으로 고용량 메토트렉세이트를 투여중인 환자, 다른 비스테로이드성 소염진통제와 함께 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 저용량 아스피린, ACE 저해제 복용자, 리튬, 푸로세미드 및 티아지드계 이뇨제, 저용량 메토트렉세이트, 쿠마린계 항응혈제(와파린 등), 선택적 세로토닌 재흡수억제를 복용하는 환자는 의사 또는 약사와 상의하십시오.","쇽(호흡곤란, 혈압저하 등), 헤마토크리트감소, 헤모글로빈감소, 빈혈, 재생불량성빈혈, 용혈성빈혈, 무과립구증, 과립구감소, 백혈구감소, 혈소판감소, 혈소판기능저하, 호산구증가 등의 혈액장애, 소화성궤양, 위장관궤양, 위장출혈, 천공(뚫림), 궤양성대장염, 혈변, 위염, 췌장염, 혈액구토, 크론병, 식욕부진, 구역, 구토, 복통, 소화불량, 설사, 위부불쾌감, 상복부통증, 구갈, 구내염, 복부팽만감, 구강궤양, 변비, 흑변, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해, 빈도불명의 호산구증가 및 전신 증후군을 동반한 약물 발진, 혈관신경성 부종, 수포성피부염, 다형홍반, 반구진 발진, 피부 붉어짐, 물집, 발진, 간염, 황달, 간기능이상, 간장애, 과민증 또는 아나필락시스 반응, 천식발작, 두드러기, 습진, 자주색반점, 시각장애, 귀먹음, 귀울림, 미각이상, 현기증, 졸음, 어지러움, 우울, 두통, 뇌혈관사고 또는 신경질, 무균성수막염 또는 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애, 급성신부전, 소변감소, 혈뇨, 요단백, BUN, 혈중크레아티닌의 상승, 고칼륨혈증, 간질성 콩팥염, 콩팥염증후군, 콩팥유두괴사, 요량감소, 전신부종 및 이에 수반하는 숨가쁨, 나른함, 눈주변부기, 얼굴부기, 권태감, 발열, 코피, 부기, 말초부종 등이 나타나면 즉각 복용을 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,8000
감기,13세 이상,기침/가래,,판콜에이,"성인 1회 1병(30 mL), 1일 3회 식후 30분에 복용합니다.","이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이를 복용하기 전에 수두나 인플루엔자에 감염되어 있거나 의심되는 영아나 만 15세 미만의 어린이, 임신 또는 수유중인 여성, 고령자, 몸이 약한 사람 등은 의사나 약사와 상의해야 합니다. 또한 과민증 환자, 경험자, 다른 약과 병용하여 천식 경험자, MAO억제제 복용중이거나 복용 중단 후 2주 이내의 사람, 알레르기 체질, 알레르기 증상 등을 경험한 사람도 이 약을 복용하지 말아야 합니다. 정해진 용법과 용량을 잘 지키고, 졸음이 나타날 수 있으므로 운전이나 기계 조작 시 주의해야 합니다. 만약 2주 이내에 증상이 개선되지 않으면 의사나 약사와 상담해야 합니다.","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오.","발진, 발적, 가려움, 구역, 구토, 식욕부진, 변비, 부종, 배뇨곤란, 목마름(지속적이거나 심한), 어지러움, 쇽 증상(복용 후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 심한 증상이 전신피부, 입 또는 눈점막에 나타남), 급성전신발진고름물집증, 천식, 전신의 나른함, 황달, 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2600
감기,13세 이상,,,판피린티,"성인은 1회 1정씩, 1일 3회 식후 30분에 복용합니다.","이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약은 과민증 환자, 경험자, 다른 해열진통제 또는 감기약을 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제 복용 중 또는 2주 이내에 중단한 사람, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적 문제가 있는 환자는 복용해서는 안 됩니다.수두 또는 인플루엔자에 감염된 영아 또는 만 15세 미만의 어린이, 만 3개월 이상 및 만 2세 미만의 영아, 알레르기 등을 일으키기 쉬운 체질, 알레르기 증상 경험자, 간장, 신장, 심장, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장, 배뇨곤란 등이 있는 사람, 몸이 약한 사람 또는 고열이 있는 사람, 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열ㆍ발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의해야 합니다.정해진 용법과 용량을 잘 지켜야 하며, 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해(기침을 그치게 함)거담제(가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. 바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자는 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오.","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부기, 배뇨(소변을 눔)곤란, 목마름(지속적이거나 심한), 어지러움, 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열 등)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2000
통증/염증,1세 이하,,,어린이용타이레놀현탁액,"만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회 (75 mg/kg)를 초과하여 복용하지 않습니다.","
이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약은 과민증, 소화성궤양, 심한 혈액 이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 비스테로이드성 소염제에 의한 천식 경험자, 바르비탈계 약물 또는 삼환계 항우울제, 알코올 복용자 등 특정 환자들은 복용하지 말아야 합니다. 또한, 간장애, 신장장애, 소화성궤양, 출혈경향이 있는 환자, 심장기능이상, 과민증 경험자, 기관지천식, 고령자, 만 2세 미만의 소아, 임부 또는 수유부는 의사 또는 약사와 상의 후 복용해야 합니다. 만약 통증이나 발열 증상이 지속되거나 악화되거나 새로운 증상이 발생할 경우 의사 또는 약사와 상의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, 다른 소염(항염)진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 타아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 과민증상(얼굴부기, 땀이 남, 저혈압), 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공(뚫림), 발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사증(리엘증후군), AST 상승, ALT 상승, 고정발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,7400
통증/염증,2 ~ 6세,알약 섭취 가능,,어린이용타이레놀80mg,"만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회(75 mg/kg)를 초과하여 복용하지 않습니다. 몸무게를 알 경우 몸무게에 따른 용량(10~15 mg/kg)으로 복용하는 것이 더 적절합니다.",,"이 약을 복용하기 전에 다음과 같은 환자는 의사 또는 약사와 상의해야 합니다: 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 천식 또는 경험자, 바르비탈계 약물 또는 삼환계 항우울제를 복용한 환자, 알코올을 복용한 사람입니다. 또한 간장애 또는 경험자, 신장장애 또는 경험자, 소화성궤양의 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상이 있는 환자, 과민증의 경험자, 기관지 천식 환자, 노인, 만 2세 미만의 소아, 임부 또는 수유부는 이 약을 복용하기 전에 의사 또는 약사와 상의해야 합니다. 마지막으로, 통증이나 발열 증상이 지속되거나 악화되거나, 새로운 증상이 나타날 경우에도 의사 또는 약사와 상의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 티아지드계 이뇨제, 다른 소염진통제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기, 천식발작 등), 혈소판 감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 구역, 구토, 식욕부진, 피부발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), AST 상승, ALT 상승, 소양성(가려움)발진, 고정발진 등이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2150
통증/염증,2 ~ 6세,,,어린이용타이레놀현탁액,"만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회 (75 mg/kg)를 초과하여 복용하지 않습니다.","
이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약은 과민증, 소화성궤양, 심한 혈액 이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 비스테로이드성 소염제에 의한 천식 경험자, 바르비탈계 약물 또는 삼환계 항우울제, 알코올 복용자 등 특정 환자들은 복용하지 말아야 합니다. 또한, 간장애, 신장장애, 소화성궤양, 출혈경향이 있는 환자, 심장기능이상, 과민증 경험자, 기관지천식, 고령자, 만 2세 미만의 소아, 임부 또는 수유부는 의사 또는 약사와 상의 후 복용해야 합니다. 만약 통증이나 발열 증상이 지속되거나 악화되거나 새로운 증상이 발생할 경우 의사 또는 약사와 상의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, 다른 소염(항염)진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 타아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 과민증상(얼굴부기, 땀이 남, 저혈압), 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공(뚫림), 발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사증(리엘증후군), AST 상승, ALT 상승, 고정발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,7400
통증/염증,6 ~ 12세,알약 섭취 가능,,어린이용타이레놀160mg,"만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회 (75 mg/kg)를 초과하여 복용하지 않습니다. 몸무게를 알 경우 몸무게에 따른 용량(10~15 mg/kg)으로 복용하는 것이 더 적절합니다.","
이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약을 복용하기 전에 간장애, 신장장애, 소화성궤양, 혈액이상, 출혈경향, 심장기능이상, 과민증, 기관지 천식, 노인, 만 2세 미만의 소아, 임신 중 또는 수유 중인 경우 의사 또는 약사와 상의해야 합니다. 이 약을 복용할 수 없는 환자들도 있으므로 주의해야 합니다. 통증이나 발열 증상이 지속되거나 악화되거나 새로운 증상이 나타나면 의사나 약사와 상의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오.

와파린, 리튬, 티아지드계 이뇨제, 다른 소염진통제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 두드러기 등), 아나필락시양 증상(과민성유사증상 : 호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판 감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 구역, 구토, 식욕부진, 피부발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), AST 상승, ALT 상승, 소양성(가려움)발진, 고정발진 등이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2500
통증/염증,6 ~ 12세,,,어린이용타이레놀현탁액,"만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회 (75 mg/kg)를 초과하여 복용하지 않습니다.","
이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약은 과민증, 소화성궤양, 심한 혈액 이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 비스테로이드성 소염제에 의한 천식 경험자, 바르비탈계 약물 또는 삼환계 항우울제, 알코올 복용자 등 특정 환자들은 복용하지 말아야 합니다. 또한, 간장애, 신장장애, 소화성궤양, 출혈경향이 있는 환자, 심장기능이상, 과민증 경험자, 기관지천식, 고령자, 만 2세 미만의 소아, 임부 또는 수유부는 의사 또는 약사와 상의 후 복용해야 합니다. 만약 통증이나 발열 증상이 지속되거나 악화되거나 새로운 증상이 발생할 경우 의사 또는 약사와 상의해야 합니다.","아세트아미노펜을 포함하는 다른 제품, 다른 소염(항염)진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 타아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 과민증상(얼굴부기, 땀이 남, 저혈압), 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공(뚫림), 발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사증(리엘증후군), AST 상승, ALT 상승, 고정발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,7400
통증/염증,13세 이상,,,타이레놀500mg,"만 12세 이상의 소아 및 성인은 1회 1~2정씩, 1일 3~4회 (4~6시간 마다) 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하십시오.","
이 약은 매일 세 잔 이상 음주하는 사람이 복용할 때 의사나 약사와 상의해야 합니다. 이 약 복용 후 피부발진 또는 과민반응이 나타나면 즉시 복용을 중단해야 합니다. 하루 최대 용량 4,000mg을 초과하지 마시고, 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 이 약은 간손상을 일으킬 수 있습니다.","이 약은 과민증 환자, 소화성궤양, 혈액이상, 간장애, 신장장애, 심장기능저하, 천식 경험 환자, 바르비탈계 약물, 삼환계 항우울제 복용한 환자, 알코올을 복용한 사람은 복용하면 안됩니다. 복용하기 전에 간장애, 신장장애, 소화성궤양, 혈액이상, 출혈 경향, 심장기능이상, 과민증 경험자, 기관지천식, 노인, 임부 또는 수유부는 의사 또는 약사와 상의해야 합니다. 통증에 10일 이상(성인) 또는 5일 이상(소아) 복용하거나 발열에 3일 이상 복용하지 않아야 하며, 의사 또는 약사의 지시 없이 복용해서는 안 됩니다.","다른 소염(항염)진통제, 아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 와파린, 리튬, 티아지드계 이뇨제를 복용한 환자는 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기 등), 천식발작, 혈소판감소, 과립구감소, 용혈성빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공(뚫림) 과민증상(얼굴부기, 땀이 남, 저혈압), 발진, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), AST 상승, ALT 상승, 고정발진 등이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,3600
소화불량,,단백질/지방 위주 식사,복통,닥터베아제,성인 1회 1정을 1일 3회 식후에 복용합니다.,,"이 약은 만 7세 이하의 소아에게는 복용을 금합니다. 알레르기 체질인 사람, 임부 또는 임신 가능성이 있는 여성, 이 약 또는 황색4호에 과민증이 있는 환자는 의사 또는 약사와 상의 후 복용하십시오. 정해진 용법과 용량을 잘 지켜야 하며, 2주 동안 복용하여도 증상이 개선되지 않는 경우 즉시 복용을 중지하고 의사 또는 약사와 상담해야 합니다.",,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2400
소화불량,,단백질/지방 위주 식사,,훼스탈골드,"성인은 1회 1정씩, 1일 3회 식후에 씹지말고 복용합니다.",,"이 약은 만 7세 이하의 어린이에게는 사용할 수 없습니다. 알레르기 체질이거나 임신 또는 임신 가능성이 있는 여성은 의사 또는 약사와 상의하고, 정해진 용법과 용량을 지켜야 합니다. 복용 후 2주 이내에 증상이 개선되지 않을 경우 즉시 의사 또는 약사와 상의하고 복용을 중지해야 합니다.",,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2700
소화불량,,탄수화물,복통,훼스탈플러스,"성인 및 15세 이상은 1회 1~2정, 만 8세~만 15세의 소아는 1회 1정을 1일 3회 식후에 씹지말고 복용합니다.",,"이 약은 만 7세 이하의 어린이에게는 사용할 수 없습니다. 알레르기 체질이거나 임신 또는 임신 가능성이 있는 여성은 의사 또는 약사와 상의하고, 정해진 용법과 용량을 지켜야 합니다. 복용 후 2주 이내에 증상이 개선되지 않을 경우 즉시 의사 또는 약사와 상의하고 복용을 중지해야 합니다.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2500
소화불량,,탄수화물,,베아제,성인 1회 1정 1일 3회 식후에 복용합니다.,,"이 약은 만 7세 이하의 어린이, 알레르기 체질인 환자, 임부 또는 임신 여성은 의사나 약사와 상의 후 복용해야 합니다. 정해진 용법과 용량을 지키며, 증상의 개선이 2주 이내에 나타나지 않을 경우 의사나 약사와 상의하여 즉각적으로 복용을 중지해야 합니다.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,2200
근골격계,,타박상,,제일쿨파프,1일 1~2회 환부(질환 부위)에 붙입니다.,,"이 약은 30개월 이하의 유아, 습진, 옻 등에 의한 피부염, 상처부위에는 사용하지 말아야 합니다. 약이나 화장품 등에 의한 알레르기 증상이 있는 환자, 알레르기 체질인 환자, 습윤이나 미란이 심한 환자, 소아, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의 후 사용하시기 바랍니다. 정해진 용법과 용량을 잘 지켜야 하며, 어린이에게 투여할 경우 보호자의 감독 하에 투여하셔야 합니다. 이 약은 외용으로만 사용하십시오. 5~6일간 사용 후에도 증상의 개선이 보이지 않을 경우 사용을 중지하고 의사 또는 약사와 상의하시기 바랍니다.",,"발진ㆍ발적(충혈되어 붉어짐), 가려움 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,3000
근골격계,,근육통,,신신파스아레스,1일 1~2회 환부(질환 부위)에 부착합니다.,,"이 약은 30개월 이하의 유아, 눈 주위, 습진, 옻 등에 의한 피부염, 상처부위, 점막 등에는 사용하지 말고, 사용 전에 과민증 환자, 알레르기 체질인 환자, 습윤이나 미란이 심한 환자, 소아는 의사 또는 약사와 상의해야 합니다. 어린이에게 투여할 경우 보호자의 감독하에 사용해야 하며, 환부는 청결하게 하고 땀 등은 잘 닦은 후 붙입니다. 환부를 따뜻하게 하지 말고, 목욕하기 30분에서 1시간 전에 붙인 것을 떼어내야 합니다. 또한 목욕 직후에는 사용하지 않아야 하며, 5~6일간 사용하여도 증상이 개선되지 않는 경우 즉시 사용을 중지하고 의사 또는 약사와 상의해야 합니다. 이 약은 외용으로만 사용하며, 용법과 용량을 잘 지켜야 합니다.",,"피부의 발진, 충혈되어 붉어짐, 가려움, 통증이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,3300
